Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 18:43:55,06-03-2026 18:44:00,5.014s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:00,06-03-2026 18:44:01,0.658s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:01,06-03-2026 18:44:02,1.024s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:02,06-03-2026 18:44:07,5.893s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), ""222222"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:07,06-03-2026 18:44:18,10.646s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), ""11111"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:18,06-03-2026 18:44:29,10.744s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:29,06-03-2026 18:44:29,0.505s,PASSED
"setText(findTestObject(""Product Order/input__Email""), valid_email)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:29,06-03-2026 18:44:32,2.256s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:32,06-03-2026 18:44:32,0.681s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:32,06-03-2026 18:44:33,1.019s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:33,06-03-2026 18:44:34,0.595s,PASSED
delay(2),Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:34,06-03-2026 18:44:36,2.017s,PASSED
"verifyTextPresent(""Akun yang anda masukkan tidak terdaftar"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:36,06-03-2026 18:44:36,0.422s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_05,Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:36,06-03-2026 18:45:49,1m - 12.813s,PASSED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:44:37,06-03-2026 18:45:07,30.424s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:07,06-03-2026 18:45:08,0.951s,PASSED
delay(5),Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:08,06-03-2026 18:45:13,5.014s,PASSED
"click(findTestObject(""Product Order/img_Indonesia_h-12 w-12 rounded-lg object-cover object-top""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:13,06-03-2026 18:45:13,0.590s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:13,06-03-2026 18:45:15,1.028s,PASSED
"scrollToElement(findTestObject(""Product Order/input__User ID""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:15,06-03-2026 18:45:20,5.783s,PASSED
"setText(findTestObject(""Product Order/input__User ID""), user_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:20,06-03-2026 18:45:31,10.719s,PASSED
"setText(findTestObject(""Product Order/input__Zone ID""), zone_id)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:31,06-03-2026 18:45:42,10.725s,PASSED
delay(3),Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:42,06-03-2026 18:45:45,3.019s,PASSED
"scrollToElement(findTestObject(""Product Order/input__Email""), 5)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:45,06-03-2026 18:45:45,0.285s,PASSED
"setText(findTestObject(""Product Order/input__Email""), ""aaaaaaaaa"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:45,06-03-2026 18:45:46,1.231s,PASSED
"click(findTestObject(""Product Order/button_Weekly Diamond Pass""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:46,06-03-2026 18:45:47,0.718s,PASSED
delay(1),Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:47,06-03-2026 18:45:48,1.016s,PASSED
"click(findTestObject(""Product Order/button_Rp 27,819""))",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:48,06-03-2026 18:45:49,0.532s,PASSED
"verifyTextPresent(""Email harus berupa alamat email yang valid"", false)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:49,06-03-2026 18:45:49,0.639s,PASSED
,,,,,,,
Test Cases/Product Order/TC_PO_06,Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:49,06-03-2026 18:46:22,32.455s,FAILED
"callTestCase(findTestCase(""Login/TC_LOG_01""), [:], STOP_ON_FAILURE)",Edge Chromium 145.0.3800.82,,,06-03-2026 18:45:49,06-03-2026 18:46:11,21.663s,PASSED
"setText(findTestObject(""Product Order/input_Indonesia_cy-search-product""), ""Mobile Legend"")",Edge Chromium 145.0.3800.82,,,06-03-2026 18:46:11,06-03-2026 18:46:22,10.657s,FAILED
